admin@boson:~# echo 1 > /sys/kernel/debug/tracing/events/enable
admin@boson:~# echo 1 > /sys/kernel/debug/tracing/tracing_on
admin@boson:~# 
admin@boson:~# ./fbomb
** 49677 printk messages dropped ** [ 1741.711577] f_booste-2073    1....... 1740852747us : sys_exit: NR 186 = 2073
[ 1741.711593] f_booste-2073    1....1.. 1740852748us : sys_gettid -> 0x819
[ 1741.711610] f_booste-2073    1....... 1740852751us : sys_enter: NR 230 (1, 0, 7fd1a6021f30, 0, 0, 0)
[ 1741.711629] f_booste-2073    1....1.. 1740852752us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a6021f30, rmtp: 0)
[ 1741.711647] f_booste-2073    1....... 1740852753us : hrtimer_init: hrtimer=ffffc90004f83e30 clockid=CLOCK_MONOTONIC mode=REL
[ 1741.711664] f_booste-2073    1d...1.. 1740852755us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.711680] f_booste-2073    1d...1.. 1740852756us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711697] f_booste-2073    1d...1.. 1740852757us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711717] f_booste-2073    1d...1.. 1740852759us : hrtimer_start: hrtimer=ffffc90004f83e30 function=hrtimer_wakeup expires=1740416051579 softexpires=1740416001579
[ 1741.711735] f_booste-2073    1d...1.. 1740852760us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711751] f_booste-2073    1d...1.. 1740852761us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711768] f_booste-2073    1d...1.. 1740852762us : write_msr: 6e0, value 22350352fbe
[ 1741.711784] f_booste-2073    1d...1.. 1740852763us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.711801] f_booste-2073    1d...1.. 1740852765us : rcu_utilization: Start context switch
[ 1741.711817] f_booste-2073    1d...1.. 1740852766us : rcu_utilization: End context switch
[ 1741.711833] f_booste-2073    1d...2.. 1740852767us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.711851] f_booste-2073    1d...2.. 1740852770us : sched_stat_runtime: comm=f_boosted pid=2073 runtime=40368 [ns] vruntime=26864210713 [ns]
[ 1741.711868] f_booste-2073    1d...2.. 1740852771us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.711885] f_booste-2073    1d...2.. 1740852773us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.711904] f_booste-2073    1d...2.. 1740852776us : sched_switch: prev_comm=f_boosted prev_pid=2073 prev_prio=120 prev_state=S ==> next_comm=f_waker next_pid=2070 next_prio=120
[ 1741.711921] f_booste-2073    1d...2.. 1740852777us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.711940] f_booste-2073    1d...2.. 1740852779us : x86_fpu_regs_deactivated: x86/fpu: ffff8800362ed2c0 fpregs_active: 0 fpstate_active: 1 xfeatures: f81e66000e0020 xcomp_bv: ffffffff81c62740
[ 1741.711959] f_booste-2073    1d...2.. 1740852780us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 6765000074725f66 xcomp_bv: 79747465
[ 1741.711977] f_booste-2073    1d...2.. 1740852781us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: c32b00000078 xcomp_bv: 81802010106
[ 1741.711994] f_booste-2073    1d...2.. 1740852782us : write_msr: c0000100, value 7fd1a69fd700
[ 1741.721204]  f_waker-2070    1d...... 1740855875us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.721221]  f_waker-2070    1....... 1740855876us : sys_exit: NR 186 = 2070
[ 1741.721237]  f_waker-2070    1....1.. 1740855876us : sys_gettid -> 0x816
[ 1741.721255]  f_waker-2070    1....... 1740855879us : sys_enter: NR 202 (55f32b7890e4, 81, 7fffffff, 0, 2a7e8, 55f32b7890e0)
[ 1741.721275]  f_waker-2070    1....1.. 1740855880us : sys_futex(uaddr: 55f32b7890e4, op: 81, val: 7fffffff, utime: 0, uaddr2: 2a7e8, val3: 55f32b7890e0)
[ 1741.721293]  f_waker-2070    1d...111 1740855881us : lock_acquire: ffffc9000099a520 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.721311]  f_waker-2070    1d...111 1740855883us : lock_release: ffffc9000099a520 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.721328]  f_waker-2070    1d....11 1740855885us : lock_acquire: ffffc9000099a588 &futex_queues[i].lock
[ 1741.721345]  f_waker-2070    1d....11 1740855886us : lock_release: ffffc9000099a588 &futex_queues[i].lock
[ 1741.721363]  f_waker-2070    1d...111 1740855887us : lock_acquire: ffffc9000099a520 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.721380]  f_waker-2070    1d...111 1740855889us : lock_release: ffffc9000099a520 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.721397]  f_waker-2070    1d...1.. 1740855890us : lock_acquire: ffff8800362e9cd8 &p->pi_lock
[ 1741.721414]  f_waker-2070    1d...1.. 1740855892us : sched_waking: comm=f_rt pid=2072 prio=92 target_cpu=001
[ 1741.721431]  f_waker-2070    1d...2.. 1740855893us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.721449]  f_waker-2070    1dN..2.. 1740855897us : sched_wakeup: comm=f_rt pid=2072 prio=92 target_cpu=001
[ 1741.721465]  f_waker-2070    1dN..2.. 1740855899us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.721482]  f_waker-2070    1dN..1.. 1740855900us : lock_release: ffff8800362e9cd8 &p->pi_lock
[ 1741.721498]  f_waker-2070    1dN..1.. 1740855902us : rcu_utilization: Start context switch
[ 1741.721514]  f_waker-2070    1dN..1.. 1740855903us : rcu_utilization: End context switch
[ 1741.721531]  f_waker-2070    1dN..2.. 1740855904us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.721549]  f_waker-2070    1dN..2.. 1740855906us : sched_stat_runtime: comm=f_waker pid=2070 runtime=77645 [ns] vruntime=26864378483 [ns]
[ 1741.721566]  f_waker-2070    1dN..2.. 1740855907us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.721583]  f_waker-2070    1dN..2.. 1740855909us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.721602]  f_waker-2070    1d...2.. 1740855912us : sched_switch: prev_comm=f_waker prev_pid=2070 prev_prio=120 prev_state=R+ ==> next_comm=f_rt next_pid=2072 next_prio=92
[ 1741.721619]  f_waker-2070    1d...2.. 1740855913us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.721638]  f_waker-2070    1d...2.. 1740855914us : x86_fpu_regs_deactivated: x86/fpu: ffff880035e37d40 fpregs_active: 0 fpstate_active: 1 xfeatures: e006b636f6c3e xcomp_bv: 2010106000079eb
[ 1741.721657]  f_waker-2070    1d...2.. 1740855915us : x86_fpu_regs_activated: x86/fpu: ffff8800362ea840 fpregs_active: 1 fpstate_active: 1 xfeatures: d40c695b006b xcomp_bv: 1010107
[ 1741.721675]  f_waker-2070    1d...2.. 1740855916us : x86_fpu_regs_activated: x86/fpu: ffff8800362ea840 fpregs_active: 1 fpstate_active: 1 xfeatures: 9cac0000006b xcomp_bv: 1010106
[ 1741.721692]  f_waker-2070    1d...2.. 1740855918us : write_msr: c0000100, value 7fd1a68fb700
[ 1741.721709]     f_rt-2072    1d...2.. 1740855919us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.721726]     f_rt-2072    1d...2.. 1740855920us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.721742]     f_rt-2072    1....... 1740855922us : sys_exit: NR 202 = 0
[ 1741.721758]     f_rt-2072    1....1.. 1740855922us : sys_futex -> 0x0
[ 1741.721776]     f_rt-2072    1....... 1740855926us : sys_enter: NR 230 (1, 0, 7fd1a68faf30, 0, 0, 55f32b7890e0)
[ 1741.721795]     f_rt-2072    1....1.. 1740855927us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a68faf30, rmtp: 0)
[ 1741.721813]     f_rt-2072    1....... 1740855928us : hrtimer_init: hrtimer=ffffc90004f7be30 clockid=CLOCK_MONOTONIC mode=REL
[ 1741.721830]     f_rt-2072    1d...1.. 1740855930us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.721847]     f_rt-2072    1d...1.. 1740855932us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.721864]     f_rt-2072    1d...1.. 1740855933us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.721885]     f_rt-2072    1d...1.. 1740855935us : hrtimer_start: hrtimer=ffffc90004f7be30 function=hrtimer_wakeup expires=1740419426955 softexpires=1740419426955
[ 1741.721902]     f_rt-2072    1d...1.. 1740855936us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.721918]     f_rt-2072    1d...1.. 1740855937us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.721935]     f_rt-2072    1d...1.. 1740855938us : write_msr: 6e0, value 2235079dbd2
[ 1741.721952]     f_rt-2072    1d...1.. 1740855939us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.721968]     f_rt-2072    1d...1.. 1740855941us : rcu_utilization: Start context switch
[ 1741.721984]     f_rt-2072    1d...1.. 1740855942us : rcu_utilization: End context switch
[ 1741.722001]     f_rt-2072    1d...2.. 1740855943us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.722018]     f_rt-2072    1d...2.. 1740855946us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.722035]     f_rt-2072    1d...2.. 1740855948us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.722054]     f_rt-2072    1d...2.. 1740855952us : sched_switch: prev_comm=f_rt prev_pid=2072 prev_prio=92 prev_state=S ==> next_comm=f_waker next_pid=2070 next_prio=120
[ 1741.722073]     f_rt-2072    1d...2.. 1740855955us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.722092]     f_rt-2072    1d...2.. 1740855957us : x86_fpu_regs_deactivated: x86/fpu: ffff8800362ea840 fpregs_active: 0 fpstate_active: 1 xfeatures: 2250107 xcomp_bv: 1010000000000
[ 1741.722111]     f_rt-2072    1d...2.. 1740855958us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 5d69000000000000 xcomp_bv: 70617773636f6c00
[ 1741.722129]     f_rt-2072    1d...2.. 1740855959us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 79747465 xcomp_bv: 7800000816
[ 1741.722146]     f_rt-2072    1d...2.. 1740855960us : write_msr: c0000100, value 7fd1a69fd700
[ 1741.722163]  f_waker-2070    1d...2.. 1740855961us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.722180]  f_waker-2070    1d...2.. 1740855962us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.722197]  f_waker-2070    1d...1.. 1740855964us : lock_acquire: ffff880035e35c98 &p->pi_lock
[ 1741.722214]  f_waker-2070    1d...1.. 1740855965us : sched_waking: comm=f_waiter pid=2071 prio=120 target_cpu=001
[ 1741.722231]  f_waker-2070    1d...2.. 1740855966us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.722249]  f_waker-2070    1d...2.. 1740855969us : sched_stat_runtime: comm=f_waker pid=2070 runtime=23413 [ns] vruntime=26864401896 [ns]
[ 1741.722266]  f_waker-2070    1d...2.. 1740855970us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.722283]  f_waker-2070    1d...2.. 1740855972us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.722300]  f_waker-2070    1d.L.2.. 1740855976us : sched_wakeup: comm=f_waiter pid=2071 prio=120 target_cpu=001
[ 1741.722317]  f_waker-2070    1d.L.2.. 1740855977us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.722334]  f_waker-2070    1d.L.1.. 1740855979us : lock_release: ffff880035e35c98 &p->pi_lock
[ 1741.722350]  f_waker-2070    1d.L.1.. 1740855981us : rcu_utilization: Start context switch
[ 1741.722366]  f_waker-2070    1d.L.1.. 1740855982us : rcu_utilization: End context switch
[ 1741.722383]  f_waker-2070    1d.L.2.. 1740855983us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.722401]  f_waker-2070    1d.L.2.. 1740855986us : sched_stat_runtime: comm=f_waker pid=2070 runtime=16430 [ns] vruntime=26864418326 [ns]
[ 1741.722418]  f_waker-2070    1d.L.2.. 1740855987us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.722434]  f_waker-2070    1d.L.2.. 1740855989us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.722453]  f_waker-2070    1d...2.. 1740855991us : sched_switch: prev_comm=f_waker prev_pid=2070 prev_prio=120 prev_state=R+ ==> next_comm=f_waiter next_pid=2071 next_prio=120
[ 1741.722470]  f_waker-2070    1d...2.. 1740855993us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.722489]  f_waker-2070    1d...2.. 1740855994us : x86_fpu_regs_deactivated: x86/fpu: ffff880035e37d40 fpregs_active: 0 fpstate_active: 1 xfeatures: 65756575715f7865 xcomp_bv: 636f6c2e5d695b73
[ 1741.722508]  f_waker-2070    1d...2.. 1740855995us : x86_fpu_regs_activated: x86/fpu: ffff880035e36800 fpregs_active: 1 fpstate_active: 1 xfeatures: 28262826ffffc900 xcomp_bv: 657475665f5f2826
[ 1741.722527]  f_waker-2070    1d...2.. 1740855996us : x86_fpu_regs_activated: x86/fpu: ffff880035e36800 fpregs_active: 1 fpstate_active: 1 xfeatures: 6b636f6c5f xcomp_bv: 10101060000bc96
[ 1741.722544]  f_waker-2070    1d...2.. 1740855997us : write_msr: c0000100, value 7fd1a697c700
[ 1741.722561] f_waiter-2071    1d...2.. 1740855998us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.722577] f_waiter-2071    1d...2.. 1740855999us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.722593] f_waiter-2071    1....... 1740856001us : sys_exit: NR 202 = 0
[ 1741.722609] f_waiter-2071    1....1.. 1740856002us : sys_futex -> 0x0
[ 1741.722628] f_waiter-2071    1....... 1740856005us : sys_enter: NR 186 (80, 1, 7fd1a65d6444, 2a7e5, 55f32b7890e0, 0)
[ 1741.722643] f_waiter-2071    1....1.. 1740856006us : sys_gettid()
[ 1741.722660] f_waiter-2071    1d...... 1740856007us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.722676] f_waiter-2071    1d...... 1740856009us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.722692] f_waiter-2071    1....... 1740856010us : sys_exit: NR 186 = 2071
[ 1741.722708] f_waiter-2071    1....1.. 1740856011us : sys_gettid -> 0x817
[ 1741.722727] f_waiter-2071    1....... 1740856014us : sys_enter: NR 186 (55f32b7890c4, 153f3, 18, 18f42b2c667cdc, 7ffccfabc080, 55f32b7890e0)
[ 1741.722742] f_waiter-2071    1....1.. 1740856015us : sys_gettid()
[ 1741.722759] f_waiter-2071    1d...... 1740856016us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.722775] f_waiter-2071    1d...... 1740856017us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.722791] f_waiter-2071    1....... 1740856018us : sys_exit: NR 186 = 2071
[ 1741.722807] f_waiter-2071    1....1.. 1740856019us : sys_gettid -> 0x817
[ 1741.722825] f_waiter-2071    1....... 1740856021us : sys_enter: NR 202 (55f32b7890c0, 8b, 153f3, 7fd1a697bf30, 55f32b7890c4, 0)
[ 1741.722845] f_waiter-2071    1....1.. 1740856022us : sys_futex(uaddr: 55f32b7890c0, op: 8b, val: 153f3, utime: 7fd1a697bf30, uaddr2: 55f32b7890c4, val3: 0)
[ 1741.722863] f_waiter-2071    1....... 1740856024us : hrtimer_init: hrtimer=ffffc90004f73c40 clockid=CLOCK_MONOTONIC mode=ABS
[ 1741.722880] f_waiter-2071    1d...111 1740856026us : lock_acquire: ffffc900009970a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.722898] f_waiter-2071    1d...111 1740856028us : lock_release: ffffc900009970a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.722915] f_waiter-2071    1d....11 1740856030us : lock_acquire: ffffc90000997108 &futex_queues[i].lock
[ 1741.722932] f_waiter-2071    1d....11 1740856031us : lock_release: ffffc90000997108 &futex_queues[i].lock
[ 1741.722949] f_waiter-2071    1d...111 1740856032us : lock_acquire: ffffc900009970a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.722966] f_waiter-2071    1d...111 1740856034us : lock_release: ffffc900009970a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.722983] f_waiter-2071    1d...1.. 1740856035us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.723004] f_waiter-2071    1d...1.. 1740856037us : hrtimer_start: hrtimer=ffffc90004f73c40 function=hrtimer_wakeup expires=1740419505020 softexpires=1740419455020
[ 1741.723020] f_waiter-2071    1d...1.. 1740856038us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.723036] f_waiter-2071    1d...1.. 1740856040us : rcu_utilization: Start context switch
[ 1741.723053] f_waiter-2071    1d...1.. 1740856041us : rcu_utilization: End context switch
[ 1741.723069] f_waiter-2071    1d...2.. 1740856042us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.723087] f_waiter-2071    1d...2.. 1740856044us : sched_stat_runtime: comm=f_waiter pid=2071 runtime=58799 [ns] vruntime=26858460695 [ns]
[ 1741.723104] f_waiter-2071    1d...2.. 1740856045us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.723121] f_waiter-2071    1d...2.. 1740856047us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.723140] f_waiter-2071    1d...2.. 1740856050us : sched_switch: prev_comm=f_waiter prev_pid=2071 prev_prio=120 prev_state=S ==> next_comm=f_waker next_pid=2070 next_prio=120
[ 1741.723157] f_waiter-2071    1d...2.. 1740856052us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.723176] f_waiter-2071    1d...2.. 1740856053us : x86_fpu_regs_deactivated: x86/fpu: ffff880035e36800 fpregs_active: 0 fpstate_active: 1 xfeatures: 87000055f3 xcomp_bv: 0
[ 1741.723194] f_waiter-2071    1d...2.. 1740856054us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 816 xcomp_bv: 200000000
[ 1741.723213] f_waiter-2071    1d...2.. 1740856055us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 4f8000000000816 xcomp_bv: e0020ffffc900
[ 1741.723230] f_waiter-2071    1d...2.. 1740856056us : write_msr: c0000100, value 7fd1a69fd700
[ 1741.723247]  f_waker-2070    1d...2.. 1740856058us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.723264]  f_waker-2070    1d...2.. 1740856059us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.723281]  f_waker-2070    1d...1.. 1740856060us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.723298]  f_waker-2070    1d...1.. 1740856062us : sched_waking: comm=f_boosted pid=2073 prio=120 target_cpu=001
[ 1741.723315]  f_waker-2070    1d...2.. 1740856063us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.723333]  f_waker-2070    1d...2.. 1740856066us : sched_stat_runtime: comm=f_waker pid=2070 runtime=21283 [ns] vruntime=26864439609 [ns]
[ 1741.723350]  f_waker-2070    1d...2.. 1740856067us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.723367]  f_waker-2070    1d...2.. 1740856069us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.723384]  f_waker-2070    1d...2.. 1740856071us : sched_wakeup: comm=f_boosted pid=2073 prio=120 target_cpu=001
[ 1741.723401]  f_waker-2070    1d...2.. 1740856072us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.723419]  f_waker-2070    1d...1.. 1740856074us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.723435]  f_waker-2070    1....... 1740856075us : sys_exit: NR 202 = 3
[ 1741.723451]  f_waker-2070    1....1.. 1740856076us : sys_futex -> 0x3
[ 1741.723469]  f_waker-2070    1....... 1740856080us : sys_enter: NR 230 (1, 0, 7fd1a69fcf30, 0, 0, 55f32b7890e0)
[ 1741.723488]  f_waker-2070    1....1.. 1740856080us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a69fcf30, rmtp: 0)
[ 1741.723506]  f_waker-2070    1....... 1740856082us : hrtimer_init: hrtimer=ffffc90004f6be30 clockid=CLOCK_MONOTONIC mode=REL
[ 1741.723523]  f_waker-2070    1d...1.. 1740856084us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.723540]  f_waker-2070    1d...1.. 1740856085us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.723557]  f_waker-2070    1d...1.. 1740856086us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.723577]  f_waker-2070    1d...1.. 1740856088us : hrtimer_start: hrtimer=ffffc90004f6be30 function=hrtimer_wakeup expires=1740419279757 softexpires=1740419229757
[ 1741.723594]  f_waker-2070    1d...1.. 1740856089us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.723611]  f_waker-2070    1d...1.. 1740856090us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.723627]  f_waker-2070    1d...1.. 1740856091us : write_msr: 6e0, value 2235076dd42
[ 1741.723644]  f_waker-2070    1d...1.. 1740856092us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.723660]  f_waker-2070    1d...1.. 1740856094us : rcu_utilization: Start context switch
[ 1741.723676]  f_waker-2070    1d...1.. 1740856095us : rcu_utilization: End context switch
[ 1741.723693]  f_waker-2070    1d...2.. 1740856096us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.723711]  f_waker-2070    1d...2.. 1740856099us : sched_stat_runtime: comm=f_waker pid=2070 runtime=33218 [ns] vruntime=26864472827 [ns]
[ 1741.723728]  f_waker-2070    1d...2.. 1740856100us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.723745]  f_waker-2070    1d...2.. 1740856101us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.723764]  f_waker-2070    1d...2.. 1740856105us : sched_switch: prev_comm=f_waker prev_pid=2070 prev_prio=120 prev_state=S ==> next_comm=f_boosted next_pid=2073 next_prio=120
[ 1741.723781]  f_waker-2070    1d...2.. 1740856106us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.723800]  f_waker-2070    1d...2.. 1740856107us : x86_fpu_regs_deactivated: x86/fpu: ffff880035e37d40 fpregs_active: 0 fpstate_active: 1 xfeatures: 81800000000 xcomp_bv: 10000005c
[ 1741.723819]  f_waker-2070    1d...2.. 1740856108us : x86_fpu_regs_activated: x86/fpu: ffff8800362ed2c0 fpregs_active: 1 fpstate_active: 1 xfeatures: 2d717226ffff8800 xcomp_bv: 6b636f6c3e
[ 1741.723838]  f_waker-2070    1d...2.. 1740856109us : x86_fpu_regs_activated: x86/fpu: ffff8800362ed2c0 fpregs_active: 1 fpstate_active: 1 xfeatures: 6c5f69703e2d7026 xcomp_bv: 8bc6006b636f
[ 1741.723855]  f_waker-2070    1d...2.. 1740856110us : write_msr: c0000100, value 7fd1a6022700
[ 1741.723872] f_booste-2073    1d...2.. 1740856112us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.723889] f_booste-2073    1d...2.. 1740856113us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.723905] f_booste-2073    1....... 1740856115us : sys_exit: NR 202 = 0
[ 1741.723921] f_booste-2073    1....1.. 1740856115us : sys_futex -> 0x0
[ 1741.723939] f_booste-2073    1....... 1740856119us : sys_enter: NR 203 (0, 80, 7fd1a6021e80, 0, 2a7e7, 55f32b7890e0)
[ 1741.723957] f_booste-2073    1....1.. 1740856120us : sys_sched_setaffinity(pid: 0, len: 80, user_mask_ptr: 7fd1a6021e80)
[ 1741.723974] f_booste-2073    1d...... 1740856122us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.723990] f_booste-2073    1d...... 1740856123us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.724006] f_booste-2073    1d...... 1740856124us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.724023] f_booste-2073    1d...... 1740856125us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.724039] f_booste-2073    1d...... 1740856126us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.724055] f_booste-2073    1d...... 1740856128us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.724072] f_booste-2073    1d...1.. 1740856129us : lock_acquire: ffffffff81c6edd8 callback_lock
[ 1741.724089] f_booste-2073    1d...1.. 1740856130us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.724105] f_booste-2073    1d...1.. 1740856131us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.724122] f_booste-2073    1d...1.. 1740856132us : lock_release: ffffffff81c6edd8 callback_lock
[ 1741.724138] f_booste-2073    1d...1.. 1740856133us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.724155] f_booste-2073    1d...2.. 1740856134us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.724173] f_booste-2073    1d...2.. 1740856138us : sched_stat_runtime: comm=f_boosted pid=2073 runtime=39250 [ns] vruntime=26864378444 [ns]
[ 1741.724190] f_booste-2073    1d...2.. 1740856139us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.724206] f_booste-2073    1d...2.. 1740856141us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.724223] f_booste-2073    1d...2.. 1740856146us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.724239] f_booste-2073    1d...1.. 1740856147us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.724256] f_booste-2073    1d...1.. 1740856148us : lock_acquire: ffffffff81c6edd8 callback_lock
[ 1741.724272] f_booste-2073    1d...1.. 1740856150us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.724289] f_booste-2073    1d...1.. 1740856151us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.724305] f_booste-2073    1d...1.. 1740856152us : lock_release: ffffffff81c6edd8 callback_lock
[ 1741.724322] f_booste-2073    1....... 1740856153us : sys_exit: NR 203 = 0
[ 1741.724337] f_booste-2073    1....1.. 1740856154us : sys_sched_setaffinity -> 0x0
[ 1741.724355] f_booste-2073    1....... 1740856157us : sys_enter: NR 186 (80, 0, 7fd1a60f498c, 2a7e7, 55f32b7890e0, 0)
[ 1741.724371] f_booste-2073    1....1.. 1740856158us : sys_gettid()
[ 1741.724388] f_booste-2073    1d...... 1740856159us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.724404] f_booste-2073    1d...... 1740856161us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.724420] f_booste-2073    1....... 1740856162us : sys_exit: NR 186 = 2073
[ 1741.724436] f_booste-2073    1....1.. 1740856162us : sys_gettid -> 0x819
[ 1741.724454] f_booste-2073    1....... 1740856165us : sys_enter: NR 230 (1, 0, 7fd1a6021f30, 0, 0, 0)
[ 1741.724472] f_booste-2073    1....1.. 1740856166us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a6021f30, rmtp: 0)
